,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Country name,2363,165,Lebanon,18,,,,,,,
year,2363.0,,,,2014.7638595006347,5.059436468192803,2005.0,2011.0,2015.0,2019.0,2023.0
Life Ladder,2363.0,,,,5.483565806178587,1.1255215132391931,1.281,4.647,5.449,6.3235,8.019
Log GDP per capita,2335.0,,,,9.399671092077089,1.1520694444710216,5.527,8.506499999999999,9.503,10.3925,11.676
Social support,2350.0,,,,0.8093693617021277,0.1212117642029914,0.228,0.744,0.8345,0.904,0.987
Healthy life expectancy at birth,2300.0,,,,63.40182826086957,6.842644351828012,6.72,59.195,65.1,68.5525,74.6
Freedom to make life choices,2327.0,,,,0.750281908036098,0.13935703459253493,0.228,0.661,0.771,0.862,0.985
Generosity,2282.0,,,,9.772129710780206e-05,0.16138760312630684,-0.34,-0.112,-0.022,0.09375,0.7
Perceptions of corruption,2238.0,,,,0.7439709562109026,0.1848654805936832,0.035,0.687,0.7985,0.86775,0.983
Positive affect,2339.0,,,,0.6518820008550662,0.10623970474397638,0.179,0.572,0.663,0.737,0.884
Negative affect,2347.0,,,,0.27315083084789094,0.0871310724579503,0.083,0.209,0.262,0.326,0.705
